date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1628378.0,Donovan Mitchell,CLE,pts,UNDER,28.5,-115,0.5348837209302325,0.7733417753416489,0.23845805441141643,0.44581288433438715,fanatics,Fanatics,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1631213.0,Tyrese Martin,BKN,pts,OVER,7.5,110,0.47619047619047616,0.714087216138684,0.2378967399482078,0.4995831538912364,bovada,Bovada,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1628378.0,Donovan Mitchell,CLE,pts,UNDER,25.5,150,0.4,0.6367921827327769,0.2367921827327769,0.5919804568319423,bovada,Bovada,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1629655.0,Daniel Gafford,DAL,pts,OVER,12.5,160,0.38461538461538464,0.6210186007104154,0.23640321609503073,0.61464836184708,bovada,Bovada,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1641775.0,Jordan Walsh,BOS,pts,OVER,5.5,-115,0.5348837209302325,0.770549332870978,0.23566561194074553,0.4405922310196546,fanatics,Fanatics,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1626156.0,D'Angelo Russell,DAL,pts,OVER,12.5,-123,0.5515695067264574,0.786628172432625,0.2350586657061675,0.4261632719713444,draftkings,DraftKings,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1627751.0,Jakob Poeltl,TOR,pts,OVER,16.5,190,0.3448275862068966,0.5786563368366333,0.23382875062973674,0.6781033768262366,bovada,Bovada,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1641722.0,Jordan Hawkins,NOP,ra,OVER,2.5,-130,0.5652173913043478,0.8783438125049952,0.3131264212006474,0.5539928990472992,fanatics,Fanatics,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1642345.0,Oso Ighodaro,PHX,ra,OVER,4.5,105,0.4878048780487805,0.7931620375147969,0.3053571594660164,0.6259821769053336,fanatics,Fanatics,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1630596.0,Evan Mobley,CLE,ra,UNDER,11.5,155,0.39215686274509803,0.6604007236560391,0.26824386091094105,0.6840218453228998,bovada,Bovada,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1630596.0,Evan Mobley,CLE,ra,UNDER,12.5,105,0.4878048780487805,0.7484534073487991,0.2606485293000186,0.5343294850650381,bovada,Bovada,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
